model,mae,rmse,r2
Forecast Random Forest,14.129624081371789,18.721104932765815,0.5703081801688625
Forecast Gradient Boosting,14.203757441846834,18.999949569144047,0.5574126188419148
Forecast XGBoost,14.589582718028856,19.213358586700906,0.5474144254261246
Forecast LightGBM,14.94670620396966,19.43794303971983,0.5367720654818849
Forecast Ridge Regression,14.996451702324679,19.853612990228836,0.5167484734219951
